"Name","Acronym","No. INSCRIP-TION","DATE DE RECONNAISSANCE","Contact person","Address","Website","Tel","Base country of org","Sector","Location","Ali's notes","NATIONALITE","No. DU MONITEUR","Notes"
"Bureau d'Etude de Consultation et d'Exécution","BURECONEX/GRAND'ANSE",,,"Max Roberto Constantier Cadet / Président","04/08/09",,,"Haiti",,,,,,
"Grand'Anse Jérémie",,,,,,,,"Haiti",,,,,,
"Association d'Aide aux Défavorisé","AAD",,,,,,,"Haiti",,,,,,
"Académie Nationale de la Plaidoirie","ACNAP",,,"Aviol Fleurant",,,,"Haiti",,,,,,
"Agence pour l'Investissement ds le Dév. Et l'Educ.","AIDE",,,"Sandra Frédéric",,,,"Haiti",,,,,,
"Associaiton des Jeunes pour le Développement de Carrefour Joule","AJDC",,,"Jules Moïse",,,,"Haiti",,,,,,
"Association des Jeunes Intellectuel pour le Développement et l'Education Social d'Haïti","AJIDESH",,,"Dominique Cadet",,,,"Haiti",,,,,,
"Association des Jeunes Progressistes de l'Anse d'Aineau, Dame Marie, les Irois","AJPATI-DR",,,"Jules Moïse",,,,"Haiti",,,,,,
"Action Nationale des Chauffeurs","ANC",,,,,,,"Haiti",,,,,,
"Association Nationale des Femmes Victimes de Coopé","ANFVC",,,"Marie Margarette Fortuné",,,"556-2546","Haiti",,,,,,
"Association pour la Protection et le Développement","APDA",,,,,,,"Haiti",,,,,,
"Association Précoopérative des Femmes des Viellards","APEV",,,"Lormicia Jean Michel",,,,"Haiti",,,,,,
"Association des Anciens Bourssiers de Russie et de l'Ex-URSS","RUS",,,"Claude Lapommeray",,,,"Haiti",,,,,,
"Asosyasyon Paysan Savan Jon","APSJ",,,"Bélizaire Hilaire",,,,"Haiti","Agriculture",,,,,
"Asosyasyon Valeyim pou Transfomasyon Fwi","AVTRAF",,,,,,,"Haiti","Agriculture",,,,,
"Association Socio-Culturelle de Bois Morquette","---",,,"Vanel Laurois",,,,"Haiti","Arts & Culture",,,,,
"Alliance Chrétienne d'Haïti pour le Progrès","ACHP",,,,,,,"Haiti",,,,,,
"Associaiton d'Aide aux Enfants et aux Femmes Défavorisées de Pétion-Ville","ADEFP",,,"Bonite Hilaire",,,,"Haiti",,,,,,
"Association pour le Développement de l'Ecotouriste","ADEPAM",,,"Florence Despagne",,,,"Haiti",,,,,,
"Associaiton des Entrepreneurs Chretiens","AEC",,,"Wilfrid Jean",,,,"Haiti",,,,,,
"Association des Fils et Amis de la Route","AFAR",,,"Jean Mary Osny",,,,"Haiti",,,,,,
"Association des  Frères Unis de Treille","AFUT",,,"Joseph Hyacinthe",,,,"Haiti",,,,,,
"Fondation de l'Action Humanitaire Intègre","AHI",,,"Joseph Sévère",,,,"Haiti",,,,,,
"Alliance Francophone d'Haïti","ALFRH",,,"Pompilus",,,,"Haiti",,,,,,
"Association des Paysans pour le Dév. D'Agriculture","APDASA",,,"Ernst Leblanc",,,,"Haiti",,,,,,
"Association des Parents de l'Ecole du Nazon","APEN",,,"Duverna Michel",,,,"Haiti",,,,,,
"Associaiton Précoopératives Femmes de Tè Rok","APFPTR",,,"Charles Simone",,,,"Haiti",,,,,,
"Association Agapè Ayiti","APGA",,,,,,,"Haiti",,,,,,
"Association de Sensibilisation pour le Changement Social","ASCS",,,,,,,"Haiti",,,,,,
"Association des Jeunes pour la Promotion de l'Education Haïtienne","ASPEH",,,"Stanley Joseph",,,,"Haiti",,,,,,
"Association des Techniciens Haïtiens","ATH",,,,,,,"Haiti",,,,,,
"Groupe de Recherche et d'Action pr le Dév. De Ouanaminthe","GRADO",,,"Péguy Jean",,,,"Haiti",,,,,,
"Groupe d'Action pour le Développement Intègre","GRANDI",,,"Laurent Jean Roger",,,,"Haiti",,,,,,
"Association de Parent de l'Ecole Cummunautaire de","APECBMR",,,"Raymond Marius",,,,"Haiti","Education",,,,,
"Association des Parents des Ecoles Communautaires","APECMC",,,,,,,"Haiti","Education",,,,,
"Association pour Aider les Enfants dans le Besoin","AEB",,,,,,,"Haiti","Children & Youth",,,,,
"Fondation d'Assistance  des Enfants Démunis","FARED",,,,,,,"Haiti","Children & Youth",,,,,
"Asosyasyon Paran Elèv Lekòl Nasyonal  Ti Bois Grand'Anse Jérémie","AAEY",,,,,,,"Haiti","Children & Youths",,,,,
"Association Collégiale pour la Recherche des Princ","CARP",,,"Paul Théodule",,,"246-1896","Haiti",,,,,,
"Association des Paysans pour le Développement de Mahotière","AOADEMA",,,"Agenor Rilmer","--",,,"Haiti",,,,,,
"Association d'Espoir des Femmes Pêcheurs Bombardopolis","AFPEB",,,"Christine Dorlean","--",,,"Haiti","Agriculture",,,,,
"Asosyasyon Paran Elèv Lekòl Nasyonal","APELN",,,"---","---",,,"Haiti",,,,,,
"Association des Chercheurs de l'Ile à Vache","---",,,"---","---",,,"Haiti","---",,,,,
"Association des Transporteurs du Reseau Routier Port-au-Prince","---",,,"Milord Paul","---",,,"Haiti","---",,,,,
"Association Etoile du Matin","---",,,"---","---",,,"Haiti","---",,,,,
"Economique des Biscaye","---",,,"---","---",,,"Haiti","---",,,,,
"Organisation d'Entraide pour la Promotion Sociale","---",,,"---","---",,,"Haiti","---",,,,,
"Action Chrétienne pour le o","ACDEV",,,"Deceus Volcy","---",,,"Haiti","---",,,,,
"Association des Conducteurs et Propriétaires des Pord Lourds Haïti","ACPPLH",,,"Claude Lapomeray","---",,,"Haiti","---",,,,,
"Association pour le Développement de l'Agriculture  de Polite?","ADAP",,,"---","---",,,"Haiti","---",,,,,
"Assistance des Enseignants Nationaux","AEN",,,"---","---",,,"Haiti","---",,,,,
"Association des Femmes Juristes pour la Défense des Droits et Libertés","AFLDDL",,,"---","---",,,"Haiti","---",,,,,
"Association des Homme de Manreron","AHA?",,,"Wisler Moneron","---",,,"Haiti","---",,,,,
"Action Humainitaire pour les Déshérités","AHD",,,"Joseph Louis","---",,,"Haiti","---",,,,,
"Asosyasyon Irigan Dlo Piti","AID",,,"Previl Edwald","---",,,"Haiti","---",,,,,
"Association des Jeunes pour l'Education et Développement…..","AJEDSP",,,"Belance Marie","---",,,"Haiti","---",,,,,
"Association des Jeunes le Relèvement de Pays Pauvre","AJERPP",,,"Pierrot Flexandra","---",,,"Haiti","---",,,,,
"Association Jeunesse Progressiste pour le Développement Petite Savane","AJPDS",,,"Vilfort Edouard","---",,,"Haiti","---",,,,,
"Association Parents des Enfants Victimes d'Intoxiction Dyetilène Glycol","APEVIIG",,,"Yvens Israèl","---",,,"Haiti","---",,,,,
"Association pour la Promotion des Finissants du BACC","APFB",,,"---","---",,,"Haiti","---",,,,,
"Asosyasyopn Pechè Bwanef","APLB",,,"Charles Edouard Jeune","---",,,"Haiti","---",,,,,
"Association Primitive des Leaders Evangélique Nationale haïtiens","APLENH",,,"Téosse Gills","---",,,"Haiti","---",,,,,
"Association d'Aide aux Enfants Non-Encadrés","ASAENG",,,"Mon Gurrier","---",,,"Haiti","---",,,,,
"Association Ambulanciers sans Frontières Haïti","ASF",,,"---","---",,,"Haiti","---",,,,,
"Asosyasyon Pou Soulaje Pèp Komin Petyon-Vil","ASPKP",,,,"---",,,"Haiti","---",,,,,
"Assoiation des Travailleurs de Nan Berger Bannanier","ATRB",,,"---","---",,,"Haiti","---",,,,,
"Ajan Veterinè An Aksyon","AVA",,,"Anlive Nestor","---",,,"Haiti","---",,,,,
"Asosyasyon Groupman Elèv Peyizan Gros Morne","AGEPGM",,,"Nicolas Saintil","---",,,"Haiti","Agriculture",,,,,
"Asosysyon  Gwoupman Plantè 2e Plèn Ti Gwav","AGPDT",,,"Rochmy Saint Guerin","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Irigan Poche","AIFD",,,"Josué Vilmé","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Irigan Fò Woryal","AIFW",,,"Clarel Exilas","---",,,"Haiti","Agriculture",,,,,
"Association des Planteurs Bas Beudet","APBB",,,"Guy Bonheur","---",,,"Haiti","Agriculture",,,,,
"Association Planteurs Commune de Thomazeau","APCT",,,"Dolcé Stemo","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Peyizan Pou Devlopaman nan Sodo","APDS",,,"Jean Lèlène","---",,,"Haiti","Agriculture",,,,,
"Association des Planteurs  Gingembres de l'Anse d'Hainault","APGIA",,,"Joseph Jean Claude","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Plantè Komin Ti Gwav","APKT",,,"Denor Atus","---",,,"Haiti","Agriculture",,,,,
"Association des Agriculteurs de Nippes","ASSAN",,,"---","---",,,"Haiti","Agriculture",,,,,
"Mouvement Organisation Paysan","MOPEB",,,"Eric Pierre","---",,,"Haiti","Agriculture",,,,,
"Association des Chauffeurs Professionnels de Petit","ACPROP",,,"Amildor Mercidieu","---",,,"Haiti",,,,,,
"Association Culturelle et de Cadre pour l'Epanouissement Social","ACCES",,,"---","---",,,"Haiti","Arts & Culture",,,,,
"Association des Eglises Evangéliques la Plaine du Cul de Sac","ADEEPCS",,,"---","---",,,"Haiti","Arts & Culture",,,,,
"Association Evangélique Chrétien sans Frontière","AECSF",,,"Imera Nirva","---",,,"Haiti","Arts & Culture",,,,,
"Association des Pasteurs Haïtiens pour l'Assistance des Enfants Démunis","ASPHOSD",,,"Victor Ludoux","---",,,"Haiti","Arts & Culture",,,,,
"Asosyasyon Seksyon Kominal Ronprin Kafou","ASPK",,,,"---",,"246-1834","Haiti","Arts & Culture",,,,,
"Ayiti Kontridans","AYKONDANS",,,"Jeanguy Saintus","---",,,"Haiti","Arts & Culture",,,,,
"Association des Militantes de Lilavois","AMPL",,,"Saintilus Gauthe","---",,,"Haiti",,,,,,
"Association d'Appui à la Recherche Scientifique","A2RS",,,"Joseph Jean Gardy","---",,,"Haiti",,,,,,
"Association d'Aide aux entrepreneurs au Profit de l'Environnement","AAEPE",,,"Tylus Winter","---",,,"Haiti",,,,,,
"Asosyasyon Agrikltè Seksyon Kominal Bwadom","AASKOB",,,"---","---",,,"Haiti",,,,,,
"Association des Bons Samaritains d'Haïti","ABSH",,,"Price Cyprien","---",,,"Haiti",,,,,,
"Association Communautaire pour le Développement de Ducis","ACDD",,,"---","---",,,"Haiti",,,,,,
"Association Chrétienne pour le Développement d'haïti","ACDH",,,"---","---",,,"Haiti",,,,,,
"Association de Cadres Ingénieur pour le Développement","ACIDD",,,"---","---",,,"Haiti",,,,,,
"Association Coopérative du Mernos Epargne et de Credits","ACOMEC",,,"---","---",,,"Haiti",,,,,,
"Amis en Coopération pour le ……","ACOP",,,"Nestor Jean Miguel","---",,,"Haiti",,,,,,
"Alternative pour le Changement du Pays","ACP",,,"---","---",,,"Haiti",,,,,,
"Association Communautaire Saint Ardienne pour le Progrès et le Développement","ACSAPD",,,"Benjamin Jean Marthely","---",,,"Haiti",,,,,,
"Association pour le Développement du Sud'Est","ADASE",,,"Pierre Edgard Satyr","---",,,"Haiti",,,,,,
"Association pour le Développement de la Deuxieme Section Communale de Jean Rable","ADDSJ",,,"Solon Josué","---",,,"Haiti",,,,,,
"Asosyosyon pour Devlopman wo Maribow","ADH",,,"Joseph Raphaèl","---",,,"Haiti",,,,,,
"Association pour le Développement  des Planteurs de Terre Froide","ADPT",,,"Denizaid Germain","---",,,"Haiti",,,,,,
"Action pour le Développement Social et Educatif","ADSE",,,"François Gauthier","---",,,"Haiti",,,,,,
"Association pour le Développement de Tokyo","ADT",,,"Doriskat Micano","---",,,"Haiti",,,,,,
"Association des Etudiants Professeurs et Elèves de la Grand'Anse","AEPEGA",,,"Charles Berthony","---",,,"Haiti",,,,,,
"Association Estudiantine pour la Recherche et le Développement","AERD",,,"Louis Wilnè","---",,,"Haiti",,,,,,
"Association Gonarvienne pour le Développement au Parc","AGOD",,,"Lexima Saintyl","---",,,"Haiti",,,,,,
"Association Haïti Mission","AH",,,"Lesus Jean Claude","---",,,"Haiti",,,,,,
"Agence haïtienne de Recherche de Développement Economique social","AHRDES",,,"Jules Oméga","---",,,"Haiti",,,,,,
"Association des Jeunes pour le Développement de Laboule","AJDEL",,,"Couloute Gérold","---",,,"Haiti",,,,,,
