,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
,,,,"American institutes for research",,,,"bstrickland@air.org","American Institutes for Research 1000 Thomas Jefferson Street Washington, D.C. 20007","http://www.air.org/",,,"Advocacy & Policy ",,,,,
"x",,,"c","Association de Solidarité Nationale","ASON ",,,,"B.P. 1595 6110 Port-au-Prince Haiti  Turgeau ",,,,"Advocacy & Policy "," ",,,,
95,,,,"Association for National Solidarity ","ASON",,,,"16, rue Malval Turgeau, Port au Prince Haiti","ason@mediacom-ht.com","555-2219",,"Advocacy & Policy ",,,,,
98,,,,"Association Haitian des Agences Bénévoles ","HAVA",,5-Jul-1985,"Katty MANGONES","Rue Chochotte, Babiole, BP.2481,    P-au-P",,"222-4240",,"Advocacy & Policy ",,,,"# 64  12/9/85",
"x",,,"c","Centre Haitien de Promotion Social","CHAPS ",,,"ffortunat@haitiworld.com","118 Rue Pavée 1er Etage Suite 2 Port au Prince Haiti ",,,,"Advocacy & Policy "," ",,,,
,,,"lo","Coordination pour des Actions en Santé et en Développement d'Haïti ","COSADH",,,"Déyes De la Cruz, Directeur exécutif: cosadhhaiti@yahoo.fr/deyes2006@yahoo.fr","10 bis, rue 3, Avenue Christophe, Bourg de Lascahobas",,"(509) 2-222-3214","Haiti","Advocacy & Policy, Disaster Risk Preparedness, Food Security","Lascahobas, Bas Plateau Central",,"Haiti",,"COSADH, est une institution d’encadrement technique intervenant au niveau de la commune de Lascahobas. Les interventions de COSADH consistent majoritairement au renforcement des filières économiques telles : l’arachide, l’élevage de caprins et le maraîchage."
384,,,,"Extravius Jean-Gilles Assistance Légale ","EJGAL","B-0323",27-May-2003,"Jean Kerby JEAN-GILLES","17, Rue des Miracles",,"557-6258",,"Advocacy & Policy, Human Rights, ","Port-au-Prince",,"Haitian",,
457,"q",,,"Fondation Nouvelle Haiti ","FONHA",,,"Jean Lubin ","Cap Haitien Morne rouge zon Paloma","fondationnouvellehaiti@gmail.com","3858-1276",,"Advocacy & Policy ",,,,,
618,,,,"Institut de Développement Municipal","IDM","B-0294",19-Mar-2002,"Mme. Magalie C. Rodrigue","67,  Rue Waag",,"222-0265",,"Advocacy & Policy ","West                             North                      North'West",,"Haitian",,
,,,,"Kenbe Foundation",,,,"Genevieve Lynch",,,,"US","Advocacy & Policy, Economic Development, ",,,,,
,,,"gc","Kozepep",,,,,,,,,"Advocacy & Policy ",,,,,
,,,,"Kozepep",,,,"Charles Sufrard",,"www.Kozepep.com",,"Haiti","Advocacy & Policy, Agriculture, ",,,,,
,,,"lo","Mo Fanm No","MFN",,,"Marthe Merveille, merveillem13@yahoo.com","#84 a letaj, Site Chanpen, Ri Bojela,, Kap Ayisyen",,"3489 7345","Haiti","Advocacy & Policy ","Nan 19 komin nan depatman No",,"Haiti",,
770,,,,"Movement of Haitian women for Development and Education","MOUFHED",,,,"3, av. des Marguerites, Port-au-Prince",,"245 85 70","Haiti ","Advocacy & Policy, Human Rights, Women's Programs",,,,,
,,,"gc","OCAPP/ PACT",,,,"info@pactworld.org","1828 L St, NW Suite 300 Washington, DC 20036","http://www.pactworld.org/","202-466-5666",,"Advocacy & Policy ",,,,,
866,,,,"PACT",,,,"Karl Jean-Louis",,"www.pactworld.org",,,"Advocacy & Policy ",,,,,
"x",,,,"PLATEFORME DES ORGANISATIONS HAITIENNES DES DROITS HUMAINS","POHDH","-",,,,,,,"Advocacy & Policy ",,,,,
"x",,,,"PROGRAMME ALTERNATIVE DE JUSTICE","PAJ",,,,,,,,"Advocacy & Policy, Human Rights, ",,,,,
6,,,,"ACDIVOCA","ACDIVOCA","B-0431",13-Dec-2007,"DOMINIQUE Pierre Philippe M.","Rue 3 (en face 23) Parc Industriel Shodecosa, Rte Ntle #1",,"3550-4353",,"Agriculture, Health, Food Security","Jacmel ",,"American",,
10,,,,"Action Aid ","A.A","SS-005",7-Nov-2002,"Jean Claude FIGNOLE"," 6, Rue Marcadieu, Bourdon",,"2245-5227",,"Agriculture ","Belle-Anse",,"English",,
,,,"x","Action Contre la Misère/World Concern Haïti ","ACLAM/         WCH","B-0213",30-Oct-1996,"M. Christon W.  DOMOND","22, Rue Boukman,  Delmas 43 info@worldconcernhaitiaclam.org",,"246-2146",,"Agriculture ","North                           South                                   Nippes                        Artibonite                                   West",,"American",,
21,,,,"Action pour le Développement du Nord-Ouest ","ADNO","B-0272",25-Sep-2000,"Rév. Pasteur Emile LOUIS","Nan Gris Gris, Port-de-Paix, Angle Lalue & Nazon # 86bis",,"268-5454",,"Agriculture ","Port de Paix                         North-West",,"Haitian","# 46,              31/5/01",
35,,,,"Agence Haitian de Développement Economique et Social ","AHDES","B-0191",5-Jul-1995,"Jean Alvarez TOUSSAINT","92, Route de Bois Boulé, Saint Médard, Arcahaie B.P.15220, PV.",,"246-3274",,"Agriculture ","Arcahaie",,"Haitian",,
40,,,,"Agro Action German ","AAA","B-0211",11-Jan-1996,"Michael KUEHN","52, Rue Mangonès, Berthé, Pétion-Ville",,"257-3962",,"Agriculture, Education, ","North'West               Ile de la Tortue      Artibonite                                  South'East              West",,"German","22/2/95",
"x",,,"c","Agronomes et Vétérinaires Sans Frontières","AVSF ",,,"cicdahti@hainet.net ","16 rue Miot - Cité Wilson Pacot Port au Prince Haiti","http://www.avsf.org/ ","2245-3364",,"Agriculture ",,,,,
67,,,,"Architectes Sans Frontières Espagne","ASF-E","B-0395",10-Jul-2006,"Michel Christobal José ANTONIO","2 bis, Rue Kernisant, Delmas 33",,"246-8165",,"Agriculture, Education, Environment","Anse-à-Pitre",,"Spanish",,
70,,,,"Asamblea de Cooperacion Por la Paz","ACPP","B-0435",27-Feb-2008,"M. Dario PUERTAS OTONES","Lamandon 1, à côté du Saint Sosyal Lakonbit",,"3466-8979",,"Agriculture ","Belle-Anse, Marbial, Calumette, Corail Lamothe",,"Spanish",,
81,,,,"Association des Eglises Missionnaires ","AEM",,20-Dec-1984,"Steven K. ZURCHER","Delmas 41, rue Faustin 1er # 13",,"246-3907",,"Agriculture, Health, Education","Centre                  North-East              South-East",,"American","# 67  23/9/85",
97,,,,"Association Haitian d'Aide aux Enfants Nécessiteux et au Relèvement des Communes de l'Artibonite ","ASENACA","B-0183",26-May-1995,"Martha P. ISRAEL","49, Angle Rues Chavanes-Geffrard, Pétion-Ville",,"257-5077",,"Agriculture ","Artibonite (Marmelade)",,"Haitian",,
99,,,,"Association Haitian pour la Maitrise des Eaux et des Sols ","ASSODLO",,15-Jun-1993,"Luc Pierre JEAN, Agronome","1, angle rue Frémy et ave. John Brown, P-au-P",,"245-2348",,"Agriculture ","West                    Centre  ",,"Haitian",,
100,,,,"Association Haitian pour la Promotion d'un Développement Autonome ","PRODEVA","B-0280",5-Jun-2001,"M. Obed JEAN-BAPTISTE","60, Tabarre 76, Blvd 15 Octobre",,"510-7648",,"Agriculture, Health, Education","Artibonite: Ennery",,"Haitian",,
105,,,,"Association Just Grow",,,,"Paula Hyppolite","Route des orangers- Berry-Jacmel-Haiti","paulahyppolite@gmail.com","3462-0536",,"Agriculture ",,,,,
106,,,,"Association Konbit Neg Lakay ","KONELAK",,26-Jul-1985,"André JOSEPH","509, Haut Delmas",,"256-6730",,"Agriculture, Health, Education",,,"Haitian","# 68 26/9/85",
